FID,DFD,DFM,Elevation,DrainArea,ElevSmooth,Row,Col,Auto_ks,Easting,Northing,PtType,Relief
0.00,1574.80,2462.00,122.09,365726.00,122.15,677.00,2637.00,39.42,263867.50,3768591.50,0.00,46.61
1.00,3098.60,938.20,15.50,991957.00,15.10,1464.00,3383.00,35.73,264613.50,3767804.50,0.00,21.88
2.00,1355.60,3126.00,208.55,195303.00,208.46,630.00,1908.00,23.46,263138.50,3768638.50,0.00,16.41
3.00,2931.60,1550.00,71.84,571400.00,72.07,1359.00,2915.00,68.11,264145.50,3767909.50,0.00,109.16
4.00,1426.60,3633.60,241.92,225819.00,241.66,884.00,1558.00,31.95,262788.50,3768384.50,0.00,27.58
5.00,1989.00,3071.20,187.43,322895.00,187.20,995.00,1916.00,36.25,263146.50,3768273.50,0.00,20.07
6.00,4072.60,987.60,17.12,1332764.00,16.57,1469.00,3343.00,46.47,264573.50,3767799.50,0.00,88.18
7.00,593.80,3092.40,178.59,261880.00,178.56,1684.00,1791.00,35.05,263021.50,3767584.50,0.00,90.21
8.00,1580.20,2106.00,84.96,638315.00,84.99,1766.00,2522.00,39.70,263752.50,3767502.50,0.00,26.94
9.00,1125.80,980.60,17.65,827346.00,17.99,1428.00,3383.00,56.24,264613.50,3767840.50,0.00,63.35
10.00,1623.00,2952.00,134.64,333019.00,134.64,1404.00,2013.00,46.49,263243.50,3767864.50,0.00,43.56
11.00,908.20,4149.20,251.90,135936.00,251.89,1173.00,1115.00,70.17,262345.50,3768095.50,0.00,60.5
12.00,1479.80,3942.80,222.89,771942.00,222.98,1150.00,1282.00,45.51,262512.50,3768118.50,0.00,28.71
13.00,1998.60,3424.00,165.77,1050638.00,165.49,1300.00,1669.00,68.94,262899.50,3767968.50,0.00,49.03
14.00,2329.20,3093.40,141.49,1110290.00,141.50,1344.00,1903.00,52.28,263133.50,3767924.50,0.00,18.21
15.00,2626.40,2796.20,118.90,1503876.00,118.83,1462.00,2124.00,55.44,263354.50,3767806.50,0.00,15.2
16.00,2902.80,2519.80,97.07,1546856.00,96.98,1606.00,2274.00,46.57,263504.50,3767662.50,0.00,13.73
17.00,4104.00,1318.60,32.81,2486856.00,32.32,1636.00,3136.00,51.97,264366.50,3767632.50,0.00,23.29
