FID,Elevation,Easting,Northing,Relief
0,168.76,263679.5,3768705.5,46.61
1,37.38,264605.5,3767933.5,21.88
2,224.96,263042.5,3768667.5,16.41
3,181.05,263811.5,3768248.5,109.16
4,264.5,262696.1,3768372.1,23.4
5,207.49,263107.5,3768323.5,20.07
6,105.29,263922.5,3767812.5,88.18
7,268.83,262802.5,3767397.5,90.21
8,111.94,263567.5,3767470.5,26.94
9,68.3,264488.5,3767975.5,44
10,184.8,262953.8,3767829.5,49.56
11,308,262237.8,3768002,57.2
12,251.64,262360,3768169.1,28.71
13,214.8,262637.5,3768069.5,49.03
14,159.67,262998.5,3767922.5,18.21
15,134.13,263245.5,3767872.5,15.2
16,110.84,263433.5,3767700.5,13.73
17,56.06,264157.5,3767560.5,23.29
18,333,262065,3768243,47
